senator_x,senator_y,jaro distance
McConnell (R-KY),Cornyn (R-TX),0.993079585
Boozman (R-AR),Cornyn (R-TX),0.993079585
Boozman (R-AR),Rounds (R-SD),0.993079585
Boozman (R-AR),Thune (R-SD),0.993079585
Ernst (R-IA),Fischer (R-NE),0.993079585
Cornyn (R-TX),Rounds (R-SD),0.993079585
Cotton (R-AR),Crapo (R-ID),0.989619377
Cassidy (R-LA),Cornyn (R-TX),0.98615917
Cassidy (R-LA),Rounds (R-SD),0.98615917
Klobuchar (D-MN),Casey (D-PA),0.98615917
McConnell (R-KY),Boozman (R-AR),0.98615917
McConnell (R-KY),Rounds (R-SD),0.98615917
Roberts (R-KS),Cornyn (R-TX),0.98615917
Boozman (R-AR),Hatch (R-UT),0.98615917
Boozman (R-AR),Wicker (R-MS),0.98615917
Fischer (R-NE),Grassley (R-IA),0.98615917
Cornyn (R-TX),Hatch (R-UT),0.98615917
Cornyn (R-TX),Wicker (R-MS),0.98615917
Cornyn (R-TX),Thune (R-SD),0.98615917
Rounds (R-SD),Hatch (R-UT),0.98615917
Rounds (R-SD),Wicker (R-MS),0.98615917
Rounds (R-SD),Thune (R-SD),0.98615917
Cantwell (D-WA),Murray (D-WA),0.982698962
Enzi (R-WY),Johnson (R-WI),0.982698962
Cotton (R-AR),Barrasso (R-WY),0.982698962
Cotton (R-AR),Thune (R-SD),0.982698962
Lankford (R-OK),Johnson (R-WI),0.982698962
Lankford (R-OK),Risch (R-ID),0.982698962
Barrasso (R-WY),Johnson (R-WI),0.982698962
Barrasso (R-WY),Perdue (R-GA),0.982698962
Crapo (R-ID),Risch (R-ID),0.982698962
Boozman (R-AR),Grassley (R-IA),0.982698962
Fischer (R-NE),Rounds (R-SD),0.982698962
Grassley (R-IA),Rounds (R-SD),0.982698962
Grassley (R-IA),Hatch (R-UT),0.982698962
Cassidy (R-LA),McConnell (R-KY),0.979238754
Cassidy (R-LA),Boozman (R-AR),0.979238754
Cassidy (R-LA),Gardner (R-CO),0.979238754
Cassidy (R-LA),Thune (R-SD),0.979238754
Enzi (R-WY),Barrasso (R-WY),0.979238754
Cotton (R-AR),Johnson (R-WI),0.979238754
Reed (D-RI),Whitehouse (D-RI),0.979238754
McConnell (R-KY),Roberts (R-KS),0.979238754
McConnell (R-KY),Hatch (R-UT),0.979238754
McConnell (R-KY),Wicker (R-MS),0.979238754
McConnell (R-KY),Thune (R-SD),0.979238754
Barrasso (R-WY),Crapo (R-ID),0.979238754
Barrasso (R-WY),Boozman (R-AR),0.979238754
Barrasso (R-WY),Cornyn (R-TX),0.979238754
Barrasso (R-WY),Rounds (R-SD),0.979238754
Barrasso (R-WY),Hatch (R-UT),0.979238754
Barrasso (R-WY),Thune (R-SD),0.979238754
Crapo (R-ID),Scott (R-SC),0.979238754
Crapo (R-ID),Thune (R-SD),0.979238754
Roberts (R-KS),Boozman (R-AR),0.979238754
Roberts (R-KS),Rounds (R-SD),0.979238754
Scott (R-SC),Boozman (R-AR),0.979238754
Scott (R-SC),Cornyn (R-TX),0.979238754
Scott (R-SC),Rounds (R-SD),0.979238754
Scott (R-SC),Thune (R-SD),0.979238754
Boozman (R-AR),Hoeven (R-ND),0.979238754
Johnson (R-WI),Risch (R-ID),0.979238754
Johnson (R-WI),Fischer (R-NE),0.979238754
Ernst (R-IA),Grassley (R-IA),0.979238754
Hoeven (R-ND),Cornyn (R-TX),0.979238754
Hoeven (R-ND),Rounds (R-SD),0.979238754
Hoeven (R-ND),Thune (R-SD),0.979238754
Fischer (R-NE),Daines (R-MT),0.979238754
Rounds (R-SD),Gardner (R-CO),0.979238754
Rounds (R-SD),Capito (R-WV),0.979238754
Gardner (R-CO),Hatch (R-UT),0.979238754
Hatch (R-UT),Wicker (R-MS),0.979238754
Hatch (R-UT),Thune (R-SD),0.979238754
Wicker (R-MS),Thune (R-SD),0.979238754
Cassidy (R-LA),Fischer (R-NE),0.975778547
Klobuchar (D-MN),Hassan (D-NH),0.975778547
Klobuchar (D-MN),Shaheen (D-NH),0.975778547
Enzi (R-WY),Perdue (R-GA),0.975778547
Enzi (R-WY),Fischer (R-NE),0.975778547
Enzi (R-WY),Shelby (R-AL),0.975778547
Cotton (R-AR),Scott (R-SC),0.975778547
Cotton (R-AR),Boozman (R-AR),0.975778547
Cotton (R-AR),Cornyn (R-TX),0.975778547
Cotton (R-AR),Rounds (R-SD),0.975778547
Barrasso (R-WY),Shelby (R-AL),0.975778547
Crapo (R-ID),Johnson (R-WI),0.975778547
Young (R-IN),Boozman (R-AR),0.975778547
Young (R-IN),Cornyn (R-TX),0.975778547
Young (R-IN),Rounds (R-SD),0.975778547
Young (R-IN),Thune (R-SD),0.975778547
Scott (R-SC),Fischer (R-NE),0.975778547
Boozman (R-AR),Fischer (R-NE),0.975778547
Johnson (R-WI),Inhofe (R-OK),0.975778547
Johnson (R-WI),Thune (R-SD),0.975778547
Ernst (R-IA),Rounds (R-SD),0.975778547
Perdue (R-GA),Cornyn (R-TX),0.975778547
Fischer (R-NE),Cornyn (R-TX),0.975778547
Fischer (R-NE),Gardner (R-CO),0.975778547
Fischer (R-NE),Hatch (R-UT),0.975778547
Fischer (R-NE),Thune (R-SD),0.975778547
Grassley (R-IA),Cornyn (R-TX),0.975778547
Grassley (R-IA),Thune (R-SD),0.975778547
Shelby (R-AL),Cornyn (R-TX),0.975778547
Shelby (R-AL),Rounds (R-SD),0.975778547
Cassidy (R-LA),Enzi (R-WY),0.972318339
Cassidy (R-LA),Roberts (R-KS),0.972318339
Cassidy (R-LA),Scott (R-SC),0.972318339
Cassidy (R-LA),Hoeven (R-ND),0.972318339
Cassidy (R-LA),Capito (R-WV),0.972318339
Cassidy (R-LA),Hatch (R-UT),0.972318339
Cassidy (R-LA),Wicker (R-MS),0.972318339
Enzi (R-WY),Lankford (R-OK),0.972318339
Enzi (R-WY),Cornyn (R-TX),0.972318339
Enzi (R-WY),Rounds (R-SD),0.972318339
Cotton (R-AR),Risch (R-ID),0.972318339
Cotton (R-AR),Perdue (R-GA),0.972318339
Cotton (R-AR),Fischer (R-NE),0.972318339
Cotton (R-AR),Shelby (R-AL),0.972318339
Lankford (R-OK),Barrasso (R-WY),0.972318339
Lankford (R-OK),Crapo (R-ID),0.972318339
Lankford (R-OK),Inhofe (R-OK),0.972318339
Kennedy (R-LA),Boozman (R-AR),0.972318339
McConnell (R-KY),Barrasso (R-WY),0.972318339
McConnell (R-KY),Scott (R-SC),0.972318339
McConnell (R-KY),Hoeven (R-ND),0.972318339
Barrasso (R-WY),Inhofe (R-OK),0.972318339
Barrasso (R-WY),Wicker (R-MS),0.972318339
Crapo (R-ID),Boozman (R-AR),0.972318339
Crapo (R-ID),Cornyn (R-TX),0.972318339
Crapo (R-ID),Rounds (R-SD),0.972318339
Crapo (R-ID),Hatch (R-UT),0.972318339
Roberts (R-KS),Hatch (R-UT),0.972318339
Roberts (R-KS),Wicker (R-MS),0.972318339
Roberts (R-KS),Thune (R-SD),0.972318339
Scott (R-SC),Hoeven (R-ND),0.972318339
Scott (R-SC),Hatch (R-UT),0.972318339
Scott (R-SC),Wicker (R-MS),0.972318339
Boozman (R-AR),Gardner (R-CO),0.972318339
Boozman (R-AR),Capito (R-WV),0.972318339
Johnson (R-WI),Ernst (R-IA),0.972318339
Johnson (R-WI),Perdue (R-GA),0.972318339
Ernst (R-IA),Daines (R-MT),0.972318339
Risch (R-ID),Fischer (R-NE),0.972318339
Risch (R-ID),Daines (R-MT),0.972318339
Perdue (R-GA),Shelby (R-AL),0.972318339
Hoeven (R-ND),Hatch (R-UT),0.972318339
Hoeven (R-ND),Wicker (R-MS),0.972318339
Blunt (R-MO),Cornyn (R-TX),0.972318339
Blunt (R-MO),Rounds (R-SD),0.972318339
Hassan (D-NH),Shaheen (D-NH),0.972318339
Cornyn (R-TX),Gardner (R-CO),0.972318339
Cornyn (R-TX),Capito (R-WV),0.972318339
Gardner (R-CO),Thune (R-SD),0.972318339
Cassidy (R-LA),Cotton (R-AR),0.968858131
Cassidy (R-LA),Young (R-IN),0.968858131
Cassidy (R-LA),Ernst (R-IA),0.968858131
Cassidy (R-LA),Grassley (R-IA),0.968858131
Cassidy (R-LA),Shelby (R-AL),0.968858131
Casey (D-PA),Hassan (D-NH),0.968858131
Casey (D-PA),Shaheen (D-NH),0.968858131
Enzi (R-WY),Cotton (R-AR),0.968858131
Enzi (R-WY),Ernst (R-IA),0.968858131
