member_full,last_name,first_name,party,state,lis_member_id,image_id_old,image_id
Alexander (R-TN),Alexander,Lamar,R,TN,S289,81,89
Baldwin (D-WI),Baldwin,Tammy,D,WI,S354,53,104
Barrasso (R-WY),Barrasso,John,R,WY,S317,54,106
Bennet (D-CO),Bennet,Michael,D,CO,S330,72,17
Blumenthal (D-CT),Blumenthal,Richard,D,CT,S341,91,19
Blunt (R-MO),Blunt,Roy,R,MO,S342,3,56
Booker (D-NJ),Booker,Cory,D,NJ,S370,24,66
Boozman (R-AR),Boozman,John,R,AR,S343,34,13
Brown (D-OH),Brown,Sherrod ,D,OH,S307,99,75
Burr (R-NC),Burr,Richard,R,NC,S300,43,71
Cantwell (D-WA),Cantwell,Maria,D,WA,S275,69,100
Capito (R-WV),Capito,Shelley,R,WV,S372,97,102
Cardin (D-MD),Cardin,Ben,D,MD,S308,85,45
Carper (D-DE),Carper,Thomas,D,DE,S277,59,21
Casey (D-PA),Casey,Bob,D,PA,S309,29,81
Cassidy (R-LA),Cassidy,Bill,R,LA,S373,39,41
Cochran (R-MS),Cochran,Thad,R,MS,S136,41,53
Collins (R-ME),Collins,Susan,R,ME,S252,62,43
Coons (D-DE),Coons,Christopher,D,DE,S337,92,22
Corker (R-TN),Corker,Bob,R,TN,S310,15,90
Cornyn (R-TX),Cornyn,John,R,TX,S287,31,91
Cortez Masto (D-NV),Cortez Masto,Catherine,D,NV,S385,98,62
Cotton (R-AR),Cotton,Tom,R,AR,S374,57,14
Crapo (R-ID),Crapo,Mike,R,ID,S266,61,29
Cruz (R-TX),Cruz,Ted,R,TX,S355,0,92
Daines (R-MT),Daines,Steve,R,MT,S375,42,58
Donnelly (D-IN),Donnelly,Joe,D,IN,S356,38,33
Duckworth (D-IL),Duckworth,Tammy,D,IL,S386,84,32
Durbin (D-IL),Durbin,Richard,D,IL,S253,73,31
Enzi (R-WY),Enzi,Mike,R,WY,S254,55,105
Ernst (R-IA),Ernst,Joni,R,IA,S376,10,36
Feinstein (D-CA),Feinstein,Dianne,D,CA,S221,83,15
Fischer (R-NE),Fischer,Deb,R,NE,S357,22,59
Flake (R-AZ),Flake,Jeff,R,AZ,S358,8,12
Franken (D-MN),Franken,Al,D,MN,S332,12,52
Gardner (R-CO),Gardner,Cory,R,CO,S377,35,18
Gillibrand (D-NY),Gillibrand,Kirsten,D,NY,S331,96,70
Graham (R-SC),Graham,Lindsey,R,SC,S293,80,85
Grassley (R-IA),Grassley,Charles,R,IA,S153,74,35
Harris (D-CA),Harris,Kamala,D,CA,S387,58,16
Hassan (D-NH),Hassan,Maggie,D,NH,S388,90,64
Hatch (R-UT),Hatch,Orrin,R,UT,S118,46,93
Heinrich (D-NM),Heinrich,Martin,D,NM,S359,87,68
Heitkamp (D-ND),Heitkamp,Heidi,D,ND,S360,65,74
Heller (R-NV),Heller,Dean,R,NV,S352,23,61
Hirono (D-HI),Hirono,Mazie,D,HI,S361,50,28
Hoeven (R-ND),Hoeven,John,R,ND,S344,26,73
Inhofe (R-OK),Inhofe,Jim,R,OK,S236,28,77
Isakson (R-GA),Isakson,John,R,GA,S305,60,25
Johnson (R-WI),Johnson,Ron,R,WI,S345,32,103
Kaine (D-VA),Kaine,Timothy,D,VA,S362,68,98
Kennedy (R-LA),Kennedy,John,R,LA,S389,40,42
King (I-ME),King,Angus,I,ME,S363,11,44
Klobuchar (D-MN),Klobuchar,Amy,D,MN,S311,51,51
Lankford (R-OK),Lankford,James,R,OK,S378,66,78
Leahy (D-VT),Leahy,Patrick,D,VT,S057,67,95
Lee (R-UT),Lee,Mike,R,UT,S346,1,94
Manchin (D-WV),Manchin,Joe,D,WV,S338,70,101
Markey (D-MA),Markey,Edward,D,MA,S369,63,48
McCain (R-AZ),McCain,John,R,AZ,S197,16,11
McCaskill (D-MO),McCaskill,Claire,D,MO,S312,86,55
McConnell (R-KY),McConnell,Mitch,R,KY,S174,75,39
Menendez (D-NJ),Menendez,Robert,D,NJ,S306,78,65
Merkley (D-OR),Merkley,Jeff,D,OR,S322,44,80
Moran (R-KS),Moran,Jerry,R,KS,S347,19,38
Murkowski (R-AK),Murkowski,Lisa,R,AK,S288,56,9
Murphy (D-CT),Murphy,Christopher,D,CT,S364,95,20
Murray (D-WA),Murray,Patty,D,WA,S229,48,99
Nelson (D-FL),Nelson,Bill,D,FL,S282,17,23
Paul (R-KY),Paul,Rand,R,KY,S348,2,40
Perdue (R-GA),Perdue,David,R,GA,S379,93,26
Peters (D-MI),Peters,Gary,D,MI,S380,21,50
Portman (R-OH),Portman,Rob,R,OH,S349,27,76
Reed (D-RI),Reed,John,D,RI,S259,14,83
Risch (R-ID),Risch,James ,R,ID,S323,37,30
Roberts (R-KS),Roberts,Pat,R,KS,S260,20,37
Rounds (R-SD),Rounds,Mike,R,SD,S381,45,88
Rubio (R-FL),Rubio,Marco,R,FL,S350,18,24
Sanders (I-VT),Sanders,Bernie,I,VT,S313,82,96
Sasse (R-NE),Sasse,Ben,R,NE,S382,4,60
Schatz (D-HI),Schatz,Brian,D,HI,S353,36,27
Schumer (D-NY),Schumer,Charles,D,NY,S270,88,69
Scott (R-SC),Scott,Tim,R,SC,S365,7,86
Shaheen (D-NH),Shaheen,Jeanne,D,NH,S324,64,63
Shelby (R-AL),Shelby,Richard,R,AL,S184,71,7
Stabenow (D-MI),Stabenow,Debbie,D,MI,S284,77,49
Strange (R-AL),Strange,Luther,R,AL,S392,,8
Sullivan (R-AK),Sullivan,Dan,R,AK,S383,33,10
Tester (D-MT),Tester,Jon,D,MT,S314,13,57
Thune (R-SD),Thune,John,R,SD,S303,30,87
Tillis (R-NC),Tillis,Thomas,R,NC,S384,25,72
Toomey (R-PA),Toomey,Patrick,R,PA,S351,79,82
Udall (D-NM),Udall,Tom,D,NM,S326,5,67
Van Hollen (D-MD),Van Hollen,Chris,D,MD,S390,76,46
Warner (D-VA),Warner,Mark,D,VA,S327,47,97
Warren (D-MA),Warren,Elizabeth,D,MA,S366,89,47
Whitehouse (D-RI),Whitehouse,Sheldon,D,RI,S316,94,84
Wicker (R-MS),Wicker,Roger,R,MS,S318,52,54
Wyden (D-OR),Wyden,Ron,D,OR,S247,6,79
Young (R-IN),Young,Todd,R,IN,S391,9,34
Sessions (R-AL),Sessions,Jefferson,R,AL,S261,49,222
